language,algorithm,case,n,runs,mean_ms,std_ms,min_ms,max_ms,mean_calls
Java,Backtracking,average,8,30,0.0020369,0.0019475197728180426,0.0004,0.0113,357.1666666666667
Java,Backtracking,average,10,30,0.004189966666666667,0.001759159252231771,0.0004,0.006201,1168.1333333333334
Java,Backtracking,average,12,30,0.008679933333333334,0.00663880060279552,0.0002,0.0222,2506.3
Java,Backtracking,average,14,30,0.010736766666666666,0.011631160969370268,0.0001,0.0386,3027.233333333333
Java,Backtracking,average,15,30,0.009869866666666668,0.008287822736144103,0.0005,0.028599,2502.766666666667
Java,Backtracking,average,16,30,0.009556733333333334,0.008730458470140647,0.0003,0.035901,2681.866666666667
Java,Backtracking,average,18,30,0.006383366666666667,0.00552090171597641,0.0004,0.0217,2188.4
Java,Backtracking,average,20,30,0.004523233333333334,0.006919661690371532,0.0002,0.034199,2303.3
Python,Backtracking,average,8,30,0.032576666666666663,0.0094481044744922,0.0023,0.0577,357.1666666666667
Python,Backtracking,average,10,30,0.11828333333333332,0.06608039034771017,0.0051,0.2839,1168.1333333333334
Python,Backtracking,average,12,30,0.23037666666666665,0.1902813482865494,0.0018,0.6159,2506.3
Python,Backtracking,average,14,30,0.28711333333333333,0.34230716366861297,0.0017,1.2258,3027.233333333333
Python,Backtracking,average,15,30,0.24379,0.23058405057442796,0.0079,0.8236,2502.766666666667
Python,Backtracking,average,16,30,0.2758733333333333,0.31245464766998543,0.0048,1.4894,2681.866666666667
Python,Backtracking,average,18,30,0.20659,0.2032952521622779,0.007,0.7637,2188.4
Python,Backtracking,average,20,30,0.21307,0.3578691093316007,0.0028,1.7241,2303.3
Java,Backtracking,best,8,30,0.0022600666666666666,0.005677420990101982,0.0001,0.0235,2.0
Java,Backtracking,best,10,30,0.00014993333333333334,5.717543078156449e-05,0.0001,0.0003,2.0
Java,Backtracking,best,12,30,0.0006299333333333334,0.0023753382471778084,0.0001,0.0132,2.0
Java,Backtracking,best,14,30,0.00016663333333333334,7.114845254009798e-05,9.9e-05,0.0004,2.0
Java,Backtracking,best,15,30,0.00017336666666666666,6.92130560402933e-05,0.0001,0.0004,2.0
Java,Backtracking,best,16,30,0.00019663333333333336,0.00010333423618441321,0.0001,0.0005,2.0
Java,Backtracking,best,18,30,0.00017996666666666666,6.642625329217944e-05,0.0001,0.0003,2.0
Java,Backtracking,best,20,30,0.00020663333333333336,0.0001387979139596134,0.0001,0.0007,2.0
Python,Backtracking,best,8,30,0.00186,0.002590380081284838,0.0008,0.0148,2.0
Python,Backtracking,best,10,30,0.0010033333333333333,9.994251221140296e-05,0.0009,0.0012,2.0
Python,Backtracking,best,12,30,0.00354,0.014478916896051257,0.0008,0.0802,2.0
Python,Backtracking,best,14,30,0.0009033333333333334,6.149478998583782e-05,0.0008,0.0011,2.0
Python,Backtracking,best,15,30,0.00091,6.617635789938568e-05,0.0008,0.001,2.0
Python,Backtracking,best,16,30,0.0015133333333333333,0.002820214388198582,0.0008,0.0164,2.0
Python,Backtracking,best,18,30,0.0009433333333333332,0.00014307782626184985,0.0008,0.0016,2.0
Python,Backtracking,best,20,30,0.0017233333333333332,0.004360534871757832,0.0008,0.0248,2.0
Java,Backtracking,worst,8,30,0.0007864,5.719332008258455e-05,0.000699,0.000999,511.0
Java,Backtracking,worst,10,30,0.0027999,5.884307008095106e-05,0.002699,0.0029,2047.0
Java,Backtracking,worst,12,30,0.011376699999999998,7.735415643158067e-05,0.011299,0.0116,8191.0
Java,Backtracking,worst,14,30,0.0441636,0.0001561901140409931,0.043801,0.0445,32767.0
Java,Backtracking,worst,15,30,0.06851646666666666,0.002638646959089572,0.065399,0.0795,65535.0
Java,Backtracking,worst,16,30,0.18883316666666666,0.02808723013937648,0.1761,0.309301,131071.0
Java,Backtracking,worst,18,30,0.7134398999999999,0.014122182175692572,0.6982,0.7648,524287.0
Java,Backtracking,worst,20,30,3.1375499000000002,1.0862728485039663,2.8058,8.7809,2097151.0
Python,Backtracking,worst,8,30,0.12442,0.4191347461715336,0.0437,2.343,511.0
Python,Backtracking,worst,10,30,0.18398666666666666,0.013409536836181908,0.173,0.2266,2047.0
Python,Backtracking,worst,12,30,0.7377699999999999,0.043720066804378406,0.6839,0.8972,8191.0
Python,Backtracking,worst,14,30,3.1048366666666665,0.3390154410920697,2.8156,4.5705,32767.0
Python,Backtracking,worst,15,30,6.27144,0.4725637797493947,5.7003,7.7357,65535.0
Python,Backtracking,worst,16,30,12.41539,0.5418354097656055,11.5233,13.6577,131071.0
Python,Backtracking,worst,18,30,49.89687666666667,1.3114576246150398,47.042,53.3956,524287.0
Python,Backtracking,worst,20,30,201.96081333333333,6.197825599783629,194.3014,219.8895,2097151.0
